,city,offer_URL
75,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1093223218-032aecde/
76,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1098048040-bb4258e7/
77,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097049416-34fbbf42/
78,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097237148-2994710a/
79,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1097916082-414d335f/
80,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1095120372-985c9e37/
81,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093661392-e2eed7da/
82,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096914476-22c20719/
83,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1090150064-429a3257/
84,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1088399898-97369173/
85,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1094999460-9428eade/
86,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1095731706-1ad5fddd/
87,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1076469500-83c0/
88,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097417840-e8f4de04/
89,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1094927036-a9468bbe/
90,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097521157-dcbc9c22/
91,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095378076-4d050c93/
92,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096824180-92762ca5/
93,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095197722-9209b917/
94,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1098118420-cc64b6c3/
95,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1098069244-bec6fe39/
96,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097608288-0dd87bc2/
97,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096086660-82c36657/
98,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095890688-4c7bf321/
99,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1090168856-efc49043/
100,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1082185220-0fe3e825/
101,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097157020-cf13644b/
102,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096979850-aa6fd1aa/
103,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097993366-89bfe0b5/
104,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1097891154-4fa2f6d7/
105,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097150476-6650110b/
106,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096767492-9842822d/
107,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1096457940-0410795e/
108,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096292642-fd59a0a0/
109,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1098118710-b6ac9f6c/
110,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096866008-ea04866b/
111,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097258852-18fe7c53/
112,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096782338-3a5c20b4/
113,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095754386-4b6a227e/
114,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1094912078-94eaed41/
115,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1094118378-1b3070bc/
116,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093672142-079f869d/
117,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093638742-8f807e4b/
118,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096896094-2be0a967/
119,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093399532-fb7c8528/
120,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1091832390-b004c0e7/
121,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1091247514-dcc314df/
122,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1084834890-e4d5db24/
123,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1072229070-fe6a383d/
124,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1085910958-8980519a/
125,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1084147445-ee09ac4a/
126,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096798610-169162d7/
127,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097519529-3b4a7bb1/
128,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093514252-a0da0218/
129,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1090240956-e5a78064/
130,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1090948066-a0b34c57/
131,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093832770-9af879ef/
132,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1085182916-0cd28644/
133,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096243712-9e66bec4/
134,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097972252-48c5a6f6/
135,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096642736-837e07b4/
136,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1094779512-b0830a02/
137,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1093896010-0ee2ff97/
138,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096859512-667d71b1/
139,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095980042-95e15117/
140,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1088023367-3c917e39/
141,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1096771224-34253f9c/
142,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1095025936-83a2b16d/
143,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1097894688-ffb78b55/
144,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096775786-ae59ba72/
145,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1094966428-a02e0b52/
146,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1097496418-af815e5d/
147,adygeya,https://auto.ru/cars/used/sale/bmw/5er/1096726336-24797603/
148,adygeya,https://auto.ru/cars/used/sale/bmw/7er/1095155122-8f5b3cdb/
149,adygeya,https://auto.ru/cars/used/sale/bmw/3er/1097714394-29c043cd/
